74,7
75,74
76,7
77,76
78,7
79,78
80,7
81,80
82,7
83,82
84,7
85,84
86,7
87,86
88,7
89,88
90,7
91,90
92,7
93,92
94,7
95,94
96,7
97,96
98,7
99,98
100,7
101,100
102,7
103,102
104,7
105,104
106,7
107,106
108,7
109,108
110,7
111,110
112,7
113,112
114,7
115,114
116,7
117,116
118,7
119,118
120,7
121,120
122,7
123,122
124,7
125,124
126,7
127,126
128,7
129,128
130,7
131,130
132,7
133,132
134,7
135,134
136,7
137,136
138,7
139,138
140,7
141,140
142,7
143,142
144,7
145,144
146,7
147,146
148,7
149,148
150,7
151,150
152,7
153,152
154,7
155,154
156,7
157,156
158,7
159,158
160,7
161,160
162,7
163,162
164,7
165,164
166,7
167,166
168,7
169,168
170,7
171,170
172,7
173,172
174,7
175,174
176,7
177,176
178,7
179,178
180,7
181,180
182,7
183,182
184,7
185,184
186,7
187,186
188,7
189,188
190,7
191,190
192,7
193,192
194,7
195,194
196,7
197,196
198,7
199,198
200,7
201,200
202,7
203,202
204,7
205,204
206,7
207,206
208,7
209,208
210,7
211,210
212,7
213,212
214,7
215,214
216,7
217,216
218,7
219,218
220,7
221,220
222,7
223,222
224,7
225,224
226,7
227,226
228,7
229,228
230,7
231,230
232,7
233,232
234,7
235,234
236,7
237,236
238,7
239,238
240,7
241,240
242,7
243,242
244,7
245,244
246,7
247,246
248,7
249,248
250,7
251,250
252,7
253,252
254,7
255,7
256,7
257,7
258,7
259,7
260,7
261,7
262,7
263,7
264,7
265,7
266,7
267,7
268,7
269,7
270,7
271,7
272,7
273,7
274,7
275,7
276,7
277,7
278,7
279,7
280,7
281,7
282,7
283,7
284,7
285,7
286,7
287,7
288,7
289,7
290,7
291,7
292,7
293,7
294,7
295,7
296,7
297,7
298,7
299,7
300,7
301,7
302,7
303,7
304,7
305,7
306,7
307,7
308,7
309,7
310,7
311,7
312,7
313,7
314,7
315,7
316,7
317,7
318,7
319,7
320,7
321,7
322,7
323,7
324,7
325,7
326,7
327,7
328,7
329,7
330,7
331,7
332,7
333,7
334,7
335,7
336,7
337,7
338,7
339,7
340,7
341,7
342,7
343,7
