# do not use commas for comments #
# courseId period teacherId #
# K-6 #
1,0,0
1,0,1
2,0,2
2,0,3
3,0,4
3,0,5
4,0,6
4,0,7
5,0,8
5,0,9
6,0,10
6,0,11
7,0,12
7,0,13
# 7-12 #
## 8 Homeroom ##
8,0,14
8,0,15
8,0,16
8,0,17
8,0,18
8,0,19
8,0,20
8,0,21
8,0,22
8,0,23
8,0,24
8,0,25
8,0,26
8,0,27
8,0,28
8,0,29
8,0,30
8,0,31
## 9 English 1 ##
9,1,14
9,2,15
9,3,16
9,4,14
9,5,15
9,6,16
## 10 English 2 ##
10,1,16
10,2,14
10,3,15
10,4,16
10,5,14
10,6,15
## 11 English 3 ##
11,1,15
11,2,16
11,3,14
11,4,15
11,5,16
11,6,14
## 12 Algebra ##
12,2,17
12,5,17
## 13 Geometry ##
13,3,17
13,6,17
## 14 Trigonometry ##
14,1,17
14,4,17
## 15 German 1 ##
15,1,18
15,4,18
## 16 German 2 ##
16,2,18
16,5,18
## 17 German 3 ##
17,3,18
17,6,18
## 18 Spanish 1 ##
18,2,19
18,5,19
## 19 Spanish 2 ##
19,3,19
19,6,19
## 20 Spanish 3 ##
20,1,19
20,4,19
## 21 French 1 ##
21,3,20
21,6,20
## 22 French 2 ##
22,1,20
22,4,20
## 23 French 3 ##
23,2,20
23,5,20
## 24 Biology ##
24,1,21
24,3,21
24,5,21
## 25 Chemistry ##
25,2,21
25,4,21
25,6,21
## 26 Geography ##
26,1,22
26,2,22
26,3,22
26,4,22
26,5,22
26,6,22
## 27 World History 1 ##
27,1,23
27,4,23
## 28 World History 2 ##
28,2,23
28,5,23
## 29 US History ##
29,3,23
29,6,23
# courseId period teacherId #
## 30 Art Appreciation - Fall##
30,1,24
30,2,24
30,3,24
30,4,24
30,5,24
30,6,24
## 31 Art Appreciation - Spring##
31,1,24
31,2,24
31,3,24
31,4,24
31,5,24
31,6,24
## 32 Music Appreciation - Fall##
32,1,25
32,2,25
32,3,25
32,4,25
32,5,25
32,6,25
## 33 Music Appreciation - Spring##
33,1,25
33,2,25
33,3,25
33,4,25
33,5,25
33,6,25
## 34 Intro to Psychology - Fall##
34,1,26
34,2,26
34,3,26
34,4,26
34,5,26
34,6,26
## 35 Intro to Psychology - Spring##
35,1,26
35,2,26
35,3,26
35,4,26
35,5,26
35,6,26
## 36 World Religions - Fall##
36,1,27
36,2,27
36,3,27
36,4,27
36,5,27
36,6,27
## 37 World Religions - Spring##
37,1,27
37,2,27
37,3,27
37,4,27
37,5,27
37,6,27
## 38 Shop Class 1 - Fall##
38,1,28
38,2,28
38,3,28
38,4,28
38,5,28
38,6,28
## 39 Shop Class 1 - Spring##
39,1,28
39,2,28
39,3,28
39,4,28
39,5,28
39,6,28
## 40 Human Anatomy - Fall##
40,1,29
40,2,29
40,3,29
40,4,29
40,5,29
40,6,29
## 41 Human Anatomy - Spring##
41,1,29
41,2,29
41,3,29
41,4,29
41,5,29
41,6,29
## 42 Physical Education - Fall##
42,1,30
42,2,30
42,3,30
42,4,30
42,5,30
42,6,30
## 43 Physical Education - Spring##
43,1,30
43,2,30
43,3,30
43,4,30
43,5,30
43,6,30
## 44 US Government - Fall##
44,1,31
44,2,31
44,3,31
44,4,31
44,5,31
44,6,31
## 45 US Government - Spring##
45,1,31
45,2,31
45,3,31
45,4,31
45,5,31
45,6,31
